ACF Ethanol Futures
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,11,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,12,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,13,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,14,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,15,0,----,----,----,----,120.5,0,120.5,0,0
BCX SOYBEAN CRUSH
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,10,0,----,----,----,----,----,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,1,0,11,0,----,62'0,49'4,56'0,56'0,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,2,0,11,0,----,----,----,----,56'0,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,3,0,11,0,----,66'6,57'2,61'6,61'6,0,66'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,5,0,11,0,----,80'0,59'4,61'0,61'0,0,65'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,7,0,11,0,----,64'4,50'6,60'0,60'0,0,64'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,8,0,11,0,----,91'0,65'2,65'2,65'2,0,68'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,9,0,11,0,----,96'6,73'6,76'0,76'0,0,78'0,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,10,0,11,0,----,76'4,61'4,73'0,73'0,0,76'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,11,0,----,69'4,57'6,65'4,65'4,0,69'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,7,0,12,0,----,79'0,58'6,70'0,70'0,0,71'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,10,0,12,0,----,89'0,71'0,82'0,82'0,0,82'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,12,0,----,87'6,69'6,81'0,81'0,0,81'4,0,0
BO Soybean Oil Futures
12/31/10 06:00 PM,BO Soybean Oil Futures,F,1,0,11,0,56.55,57.91,56.53,57.83,57.74,10809,56.61,17840,13857
12/31/10 06:00 PM,BO Soybean Oil Futures,F,3,0,11,0,57.25,58.60,57.15,58.40,58.37,34279,57.31,44690,203372
12/31/10 06:00 PM,BO Soybean Oil Futures,F,5,0,11,0,57.64,58.99,57.50,58.72,58.74,5407,57.64,12842,54840
12/31/10 06:00 PM,BO Soybean Oil Futures,F,7,0,11,0,57.67,59.00,57.59,58.87,58.82,3737,57.68,6634,46061
12/31/10 06:00 PM,BO Soybean Oil Futures,F,8,0,11,0,57.96,58.85B,57.61A,58.80B,58.70,150,57.58,205,4954
12/31/10 06:00 PM,BO Soybean Oil Futures,F,9,0,11,0,57.74,58.51B,57.39A,58.35B,58.55,248,57.43,115,5587
12/31/10 06:00 PM,BO Soybean Oil Futures,F,10,0,11,0,57.44,58.31,57.21A,58.25B,58.27,120,57.18,373,7585
12/31/10 06:00 PM,BO Soybean Oil Futures,F,12,0,11,0,57.26,58.40,57.11,58.25B,58.20,486,57.18,991,25409
12/31/10 06:00 PM,BO Soybean Oil Futures,F,1,0,12,0,----,----,----,----,58.25,0,57.23,0,361
12/31/10 06:00 PM,BO Soybean Oil Futures,F,3,0,12,0,----,----,----,----,58.20,0,57.18,0,245
12/31/10 06:00 PM,BO Soybean Oil Futures,F,5,0,12,0,----,----,----,----,58.20,0,57.18,0,43
12/31/10 06:00 PM,BO Soybean Oil Futures,F,7,0,12,0,----,----,----,----,58.20,0,57.18,0,58
12/31/10 06:00 PM,BO Soybean Oil Futures,F,8,0,12,0,----,----,----,----,57.70,0,56.68,0,75
12/31/10 06:00 PM,BO Soybean Oil Futures,F,9,0,12,0,----,----,----,----,57.20,0,56.18,0,12
12/31/10 06:00 PM,BO Soybean Oil Futures,F,10,0,12,0,----,----,----,----,56.70,0,55.68,0,2
12/31/10 06:00 PM,BO Soybean Oil Futures,F,12,0,12,0,55.89,56.28,55.89,----,56.49,7,55.47,10,146
12/31/10 06:00 PM,BO Soybean Oil Futures,F,1,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,3,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,5,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,7,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,8,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,9,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,10,0,13,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,12,0,13,0,----,----,----,----,56.49,0,55.47,0,1
12/31/10 06:00 PM,BO Soybean Oil Futures,F,7,0,14,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,10,0,14,0,----,----,----,----,56.49,0,55.47,0,0
12/31/10 06:00 PM,BO Soybean Oil Futures,F,12,0,14,0,----,----,----,----,56.49,0,55.47,0,0
BRS BURSA MALAYSIA - SSF
12/31/10 06:00 PM,BRS BURSA MALAYSIA - SSF,F,1,0,11,0,----,----,----,----,----,0,7.78,0,0
12/31/10 06:00 PM,BRS BURSA MALAYSIA - SSF,F,3,0,11,0,----,----,----,----,----,0,7.78,0,0
12/31/10 06:00 PM,BRS BURSA MALAYSIA - SSF,F,6,0,11,0,----,----,----,----,----,0,7.78,0,0
BST BERJAYA SPORTS - SSF
12/31/10 06:00 PM,BST BERJAYA SPORTS - SSF,F,1,0,11,0,----,----,----,----,----,0,4.46,0,0
12/31/10 06:00 PM,BST BERJAYA SPORTS - SSF,F,3,0,11,0,----,----,----,----,----,0,4.46,0,0
12/31/10 06:00 PM,BST BERJAYA SPORTS - SSF,F,6,0,11,0,----,----,----,----,----,0,4.46,0,0
C Corn Futures
12/31/10 06:00 PM,C Corn Futures,F,3,0,11,0,616'2,630'0,615'6,626'4,629'0,68901,616'0,94981,727836
12/31/10 06:00 PM,C Corn Futures,F,5,0,11,0,624'0,638'4,624'0,633'0,636'4,19849,624'0,17753,205536
12/31/10 06:00 PM,C Corn Futures,F,7,0,11,0,628'0,641'6,628'0,640'0,640'0,17836,628'0,21693,228476
12/31/10 06:00 PM,C Corn Futures,F,9,0,11,0,584'2,595'0,583'2,593'0,595'4,1464,584'6,2786,42662
12/31/10 06:00 PM,C Corn Futures,F,12,0,11,0,551'0,560'0,550'0,551'0,562'0,13163,551'2,19687,266766
12/31/10 06:00 PM,C Corn Futures,F,3,0,12,0,557'2,567'4,557'2,564'2,569'6,400,559'2,1470,21025
